name,profile_url,description,glassdoor_rating,rank,employee_seats,domain_authority,revenue,founded,locations,sectors,country
24x7 Direct,https://www.outsourceaccelerator.com/company/24x7-direct/,"24x7 Direct is a leading Australian BPO operating successfully onshore in Australia for 20+ years; now expanding offshore, the business is quickly at 120 full-time Virtual Staff based out of the Philippines.  We assist the small to medium sector to “Simplify the Process of building Virtual Teams” ar",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Philippines
Spare Global,https://www.outsourceaccelerator.com/company/spare-global/,"At Spare Global, we're redefining how businesses scale and thrive by connecting them with exceptional talent from the Philippines. As a leader in global staffing solutions, we blend expert knowledge with a passion for innovation to help our partners achieve unprecedented growth. With a commitment to",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Philippines
Peak Outsourcing,https://www.outsourceaccelerator.com/company/peak-outsourcing/,"PEAK Outsourcing evolved from a concept that set out to better the experience and client expectations when outsourcing to the third-largest English-speaking country in the world, the Philippines. We were once a client, so we know what it is like and we understand the fears of having a working and fi",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Philippines
VA Platinum,https://www.outsourceaccelerator.com/company/va-platinum/,"VAP (VA Platinum) is an Australian-owned offshore staffing and managed services provider based in Cebu City, Philippines. We specialise in delivering co-managed offshore support to Australian businesses, helping them scale efficiently while maintaining high service quality.  Our team supports a wide",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Philippines
Remote Philippines,https://www.outsourceaccelerator.com/company/remote-philippines/,"Remote Philippines is renowned as an outsourcing powerhouse based in the Philippines.  With an outstanding track record spanning over half a decade, they have consistently excelled in their mission of delivering top-tier Filipino remote professionals to empower small and medium-sized enterprises.  R",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Philippines
VirtualStaff.ph,https://www.outsourceaccelerator.com/company/virtualstaff-ph/,"VirtualStaff.ph is the largest remote team-building platform for businesses worldwide looking to hire independent contractors or full-time employees in the Philippines—without the complexity of traditional outsourcing.  With over 1,000,000 vetted professionals, 25,000+ active businesses, and 80,000+",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Philippines
Corpshore Solutions,https://www.outsourceaccelerator.com/company/corpshore-solutions/,"Corpshore Solutions is a multinational business process outsourcing (BPO) management consortium and Information Technology (IT) consulting & solutions provider headquartered in Toronto, Canada with operations centres in the Dominican Republic, the United States, Canada, the Philippines, Poland, the ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Philippines
Cebu Tele-net,https://www.outsourceaccelerator.com/company/cebu-tele-net-philippines-corporation/,"Welcome to Cebu tele-net, a premier Business Process Outsourcing (BPO) provider dedicated to helping businesses succeed through tailored outsourcing solutions. As part of the tele-net Group, headquartered in Tokyo, Japan, Cebu tele-net combines Japanese omotenashi hospitality with the world-renowned",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Philippines
Boomering,https://www.outsourceaccelerator.com/company/boomering-inc/,"Boomering is a BPO that helps businesses build high-performing offshore teams in the Philippines.  We provide skilled, culturally aligned professionals while handling all back-office support, ensuring seamless operations without the hassle of recruitment.  Our focus is on long-term retention, cost e",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Philippines
Platinum Outsourcing,https://www.outsourceaccelerator.com/company/platinum-outsourcing/,"Outsourcing to the Philippines made easy.  Platinum Outsourcing is an ISO9001 certified, award winning, trusted and professional outsourcing provider, helping Australian and US based businesses think outside the box, by providing them with easy access to outsourced teams.  Scale your business cost e",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Philippines
Intelassist,https://www.outsourceaccelerator.com/company/intelassist-inc/,"Intelassist is a boutique business process outsourcing (BPO) company, founded in 2007. Headquartered in Manila with senior leadership based in both the United States and the Philippines, Intelassist serves as a strategic partner to organizations seeking high-performing, fully integrated offshore tea",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Philippines
Select Voicecom,https://www.outsourceaccelerator.com/company/select-voicecom/,"Since 2008, Select VoiceCom has delivered cost-effective, performance-driven contact center solutions for businesses in the USA, UK, CA, AU, and beyond. We offer 1,500 certified, premise-based, secure workstations in the Philippines. Our college-educated agents excel in IB, OB, B2B, and B2C programs",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Philippines
Lynk Global,https://www.outsourceaccelerator.com/company/lynk-global/,"Lynk Global is a fully managed offshore services provider helping businesses scale through dedicated, in-office teams based in Manila. We support companies across accounting, construction support, administration, marketing, and back-office operations.  Our model is designed for businesses that need ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Philippines
